,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
23,0.5043890953063965,0.003971889414608313,0.004786920547485351,0.00039873131722588704,0.01,0.01,6,400,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 400}",0.9891561746422323,0.9553836972174825,0.9553072813381858,0.9189808715719708,0.996378879326769,0.9630413808193282,0.027760245500402392,21,-0.03906798991786919,-0.0855572681894817,-0.0835720334591788,-0.11611383812114423,-0.024391476277292774,-0.06974052119299334,0.033434427734384764,21
17,0.3426220417022705,0.0018442795484692825,0.004787254333496094,0.0003988984203844831,0.01,0.01,3,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.9903070296411963,0.9534372392314312,0.953068721315353,0.9176246852007169,0.9935864720258243,0.9616048294829043,0.028001676799491417,22,-0.03693671360287198,-0.08740363224227794,-0.08563943160904479,-0.11708162487546472,-0.03246123840364859,-0.0719045281466616,0.0323986451242996,29
79,0.5603834629058838,0.003184556443774927,0.004587888717651367,0.0004884219991213904,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9934022309840764,0.9542834025136797,0.9586020297951037,0.9090335428134348,0.9926368143572095,0.9615916040927008,0.030985216584124124,23,-0.030473922815533058,-0.08660581837668278,-0.08043259979288075,-0.1230356131163245,-0.03478159250338909,-0.07106590932096205,0.034624658241806376,22
91,0.23051376342773439,0.0013081371552683383,0.004388618469238281,0.0004887725409254673,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9932337225192372,0.9544105902290423,0.9579624287744267,0.9092820044536645,0.9928558287134311,0.9615489149379604,0.030918274129814786,24,-0.030860624600265774,-0.08648526185261148,-0.0810515623512059,-0.12286747128763374,-0.03426040691443484,-0.07110506540123035,0.03461783870202949,23
94,0.5587595939636231,0.005984375167921956,0.004986763000488281,6.572746635480032e-07,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9932337225192372,0.9544105902290423,0.9579624287744267,0.9092820044536645,0.9928558287134311,0.9615489149379604,0.030918274129814786,24,-0.030860624600265774,-0.08648526185261148,-0.0810515623512059,-0.12286747128763374,-0.03426040691443484,-0.07110506540123035,0.03461783870202949,23
93,0.45165371894836426,0.0034889237470912913,0.004587745666503907,0.0004885001455588343,0.1,0.1,3,400,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",0.9932337225192372,0.9544105902290423,0.9579624287744267,0.9092820044536645,0.9928558287134311,0.9615489149379604,0.030918274129814786,24,-0.030860624600265774,-0.08648526185261148,-0.0810515623512059,-0.12286747128763374,-0.03426040691443484,-0.07110506540123035,0.03461783870202949,23
92,0.3408038139343262,0.0028475441659878364,0.003989315032958985,2.4314019744838644e-07,0.1,0.1,3,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.9932337225192372,0.9544105902290423,0.9579624287744267,0.9092820044536645,0.9928558287134311,0.9615489149379604,0.030918274129814786,24,-0.030860624600265774,-0.08648526185261148,-0.0810515623512059,-0.12286747128763374,-0.03426040691443484,-0.07110506540123035,0.03461783870202949,23
90,0.11895308494567872,0.0014053395626636572,0.004388189315795899,0.0004886363878161084,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9932336578376869,0.9544100657500465,0.9579618033241504,0.909282960101598,0.9928557758346378,0.961548852569624,0.030917965794083572,28,-0.03086077210443464,-0.08648575933188411,-0.08105216530627721,-0.12286682412632052,-0.034260533706301464,-0.07110521091504358,0.03461766273824721,27
78,0.450274133682251,0.0020662081060994616,0.0041888713836669925,0.0003985884800268756,0.1,0.01,3,400,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.9933595063216782,0.9540180297782893,0.9583014912171378,0.9094006073048398,0.9925808270706722,0.9615320923385233,0.0308596755034924,29,-0.030572432407367026,-0.0868568165735814,-0.08072403177568507,-0.12278712781021975,-0.03491357608871144,-0.07117079693111293,0.03453802075064091,28
22,0.373921537399292,0.003496878804326763,0.004986715316772461,5.309833872633e-07,0.01,0.01,6,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.9863716559222222,0.9542955580050414,0.9520185436812453,0.9181677681234226,0.9939609082204082,0.9609628867904678,0.02716744999294763,30,-0.04379770505107932,-0.0865943038904588,-0.08659230401824342,-0.11669503953295679,-0.03149940878097515,-0.07303575225474271,0.031157275289315403,30
27,0.38858652114868164,0.008084867099180004,0.004786920547485351,0.00039885059418596385,0.01,0.01,9,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.9863716559222222,0.9542955580050414,0.9520185436812453,0.9181677681234226,0.9939609082204082,0.9609628867904678,0.02716744999294763,30,-0.04379770505107932,-0.0865943038904588,-0.08659230401824342,-0.11669503953295679,-0.03149940878097515,-0.07303575225474271,0.031157275289315403,30
77,0.3400062084197998,0.0014254450853364924,0.004587936401367188,0.0004885583655584301,0.1,0.01,3,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.9915260542060387,0.9526656333569583,0.9559480890025147,0.9089759805117054,0.9908229689479132,0.9599877452050262,0.030389498973145603,32,-0.03453604889308992,-0.08812485290460748,-0.08297073917967149,-0.12307453456758066,-0.03883002661024587,-0.07350724043103908,0.03311015547916304,32
96,0.2662147045135498,0.0033605077414693633,0.004188728332519531,0.0003988984203844831,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
97,0.39535722732543943,0.006715774274759415,0.004388427734375,0.0004889282209573845,0.1,0.1,6,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
98,0.5234307765960693,0.009832490456999896,0.004188728332519531,0.00039865991643048336,0.1,0.1,6,400,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
99,0.6563731670379639,0.009376444571561948,0.004587888717651367,0.0004883246942654039,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
101,0.2846532344818115,0.0038337622542785298,0.004388284683227539,0.000488558179399531,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
102,0.423187255859375,0.006211705980681105,0.004388189315795899,0.00048805205826080866,0.1,0.1,9,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
103,0.5610262870788574,0.010257670239303353,0.004587841033935547,0.0004886750732262973,0.1,0.1,9,400,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 400}",0.9855625086288832,0.9541104801332436,0.9514358972467883,0.9092820044536645,0.9927589925723574,0.9586299766069875,0.0296565473166958,33,-0.045079145849441025,-0.08676945642183002,-0.087116469604476,-0.12286747128763374,-0.03449181785812299,-0.07526487220430075,0.0319763765762459,33
